Item,Ranking,Description or Purpose,Example,More Info,Ranking,Selection,Weight,Pre-Hike Comments,Certain?,Alternate,Weighed?,In-hand?,Packed,Other Notes,Post-Hike Comments
Hiking shirt,Critical,"Polyester, merino wool, or nylon. Knit, not woven.",Sierra Designs S/S Pack Polo,Core 13 Clothing: S/S & L/S Shirt,Critical,Sierra Designs L/S Pack Polo,6.0,"For intense Colorado sun, prefer L/S & collar vs sunscreen",Y,-,Y,Y,,,"Dries fast, looks sharp, tough. Too airy for cooler trips."
Pants or shorts,Critical,Lined running shorts or nylon trekking pants,The North Face Better Than Naked Shorts 5-in,Core 13 Clothing: Running Shorts,Critical,Hind Running Shorts w/built-in liner,5.0,"Tested on day-hikes only. Comfortable, no chafing.",NO,Older Brooks shorts,Y,Y,,,Legs badly sunburned. Wear pants + undees next time.
Underwear A,Optional,For pants & unlined shorts. Two pairs for women.,Ex Officio Give-n-Go,Core 13 Clothing: Pants & Underwear,Unnnecessary,-,0.0,Shorts have liner,Y,-,Y,Y,,,Joe recommended his Ex Officio Give N Go underwear
Bra,Optional,"Pack two: wearing one, other is washed & drying.",Moving Comfort Fiona Sports Bra,-,Unnnecessary,-,0.0,-,Y,-,Y,Y,,,-
Headwear,Suggested,"Keep precip, sweat, hoods out of eyes; sun protection",Headsweats Super Visor,-,Critical,Headsweats ProTech,3.0,"Unlike visor or ballcap, protects scalp, tops of ears, and neck",Y,-,Y,Y,,,"Looks dorky, but works great"
Sun gloves,Optional,Protect hands from intense sun without sunscreen,Glacier Glove Sunglove,,,,,,,,,,,,
Sunglasses,Depends,"Generally unnecessary for East, necessary for West",Julbo Dirt,Buying considerations,Critical,Julbo Dirt,1.5,Polarized to reduce glare of lingering snow,Y,-,Y,NO,,On order from Backcountry. Arriving July 15.,Great purchase. Lenses too dark when in heavy tree cover.
Rx glasses or contacts,Optional,Pros & cons to both,Preciption glasses or contact lenses,-,Unnnecessary,-,0.0,20/20 vision,Y,-,Y,Y,,,-
Trekking Poles,Critical,"Extra stability, traction, & power. Use to pitch shelter.",Black Diamond Alpine Carbon Cork,Tag: Trekking poles,,,,,,,,,,,
,,,,,,,,,,,,,,,
Item,Ranking,Description or Purpose,Example,More Info,Ranking,Selection,Weight,Pre-Hike Comments,Certain?,Alternate,Weighed?,In-hand?,Packed,Other Notes,Post-Hike Comments
Shoes,Critical,Trail running or hiking shoes; avoid boots,Salewa Ultra Train,Footwear & Footcare - SD LIVE,,,,,,,,,,,
Gaiters,Suggested,Keep debris out. Ideal: breathable stretch nylon.,Simblissity Levagaiter,-,,,,,,,,,,,
Hiking socks A,Critical,Polyester or merino wool w/nylon & elastane,DeFeet Wooleator,My 3-season Sock System,,,,,,,,,,,
Hiking socks B,Depends,"For chronic wet feet, take only Pair A + sleeping socks",DeFeet Wooleator,How to: Minimize effects of wet feet,,,,,,,,,,,
Camp footwear,Optional,Dry & warm feet despite wet footwear. Not for day use.,Travel or airline slippers,-,,,,,,,,,,,
Sleeping socks,Depends,"Polyester, wool, or fleece. Not for daytime use.",DeFeet Woolie Boolie,My 3-Season Sock System,,,,,,,,,,,
,,,,,,,,,,,,,,,
Item,Ranking,Description or Purpose,Example,More Info,Ranking,Selection,Weight,Pre-Hike Comments,Certain?,Alternate,Weighed?,In-hand?,Packed,Other Notes,Post-Hike Comments
Shell top,Depends,"WP/B jacket, poncho, umbrella, wind shirt",Sierra Designs UL Trench,Core 13 Clothing: Rain jacket & pants,,,,,,,,,,,
Shell bottoms,Depends,"WP/B pants, rain skirt, chaps, or wind pants",Outdoor Research Helium Pant,Backpacking in the Rain - SD LIVE,,,,,,,,,,,
Umbrella,Depends,Ultimate WP/breathable rain gear. Or sun protection.,My Trail Company Chrome Umbrella,,,,,,,,,,,,
Mid-layer top,Depends,Fleece or wool. Buffers moisture & adds warmth. ,The North Face TKA 100 Glacier Pullover ,Core 13 Clothing: Fleece Top,,,,,,,,,,,
Trekking pants or thermals,Depends,"Pants: bugs, brush, cold & sun. Thermals: frigid temps.",prAna Stretch Zion Pants,Core 13 Clothing: Pants & underwear,,,,,,,,,,,
Liner gloves,Depends,"Add warmth, keep dexterity. Fleece, poly, or wool.",DeFeet Duraglove,-,,,,,,,,,,,
Shell mitts,Depends,Precip & wind protection. WP/B or W/R shells.,REI Rain Mittens,-,,,,,,,,,,,
Insulated headwear,Depends,"Warmth, esp for ears. Alternative: hooded jackets.",Buff Wool Buff,-,,,,,,,,,,,
,,,,,,,,,,,,,,,
Item,Ranking,Description or Purpose,Example,More Info,Ranking,Selection,Weight,Pre-Hike Comments,Certain?,Alternate,Weighed?,In-hand?,Packed,Other Notes,Post-Hike Comments
Insulated jacket,Depends,"Down or synthetic fill. For cool camps, rest stops.",Sierra Designs Elite DriDown Hoody,Insulation Geekiness - SD LIVe,,,,,,,,,,,
Insulated pants,Depends,"For cold or long camps. Down, synthetic, fleece.",WM Flash Pants,Core 13: Puffy Jacket & Pants,,,,,,,,,,,
Underwear B,Depends,"Rec'd for women. Wash, dry & rotate with Underwear A.",Patagonia Women's Active Briefs,-,,,,,,,,,,,
Sleeping top,Depends,"Polyester, wool, or fleece. Not for daytime use.",S/S or L/S shirt,Core 13 Clothing: Sleeping Top,,,,,,,,,,,
Sleeping bottoms,Depends,"Most warranted for wet & humid trips, not dry","Underwear, tights, or pajama pants",Core 13 Clothing: Sleeping Bottoms,,,,,,,,,,,
,,,,,,,,,,,,,,,
Item,Ranking,Description or Purpose,Example,More Info,Ranking,Selection,Weight,Pre-Hike Comments,Certain?,Alternate,Weighed?,In-hand?,Packed,Other Notes,Post-Hike Comments
Pack,Critical,"Sweet spot is 2-3 lbs: durable, features, frame",Sierra Designs Flex Capacitor 40-60 Pack,-,,,,,,,,,,,
Waterproofing,Suggested,"Dry bags, pack cover, or pack liner",Brute Super Tuff Bags 20-gallon,-,,,,,,,,,,,
